"LEVEL3_NAM" "LEVEL3_COD" "lon" "lat"
"318" "Turks-Caicos Is." "TCI" -71.8819111091703 21.8088781073376
"319" "Transcaucasus" "TCS" 45.6368625532898 41.0165956101489
"320" "Tristan da Cunha" "TDC" -11.2094781575138 -38.6341618059145
"321" "Tennessee" "TEN" -86.3547579468026 35.8661023555984
"322" "Texas" "TEX" -99.3292474580334 31.4775804658453
"323" "Thailand" "THA" 101.012573717656 15.0842220155165
"324" "Turkmenistan" "TKM" 59.4594569085191 39.1322290053508
"325" "Togo" "TOG" 0.977392950434171 8.53037260506616
"326" "Tokelau-Manihiki" "TOK" -164.670877205444 -9.8151685341981
"327" "Tonga" "TON" -174.821349575148 -19.968666348213
"328" "Trinidad-Tobago" "TRT" -61.2529260136232 10.4681640723276
"329" "Tuamotu" "TUA" -145.28766410982 -16.0287905489716
"330" "Tubuai Is." "TUB" -150.078954124915 -23.0984409861273
"331" "Turkey-in-Europe" "TUE" 27.2970463616857 41.2605249888378
"332" "Tunisia" "TUN" 9.56500762162805 34.0807171199154
"333" "Turkey" "TUR" 35.4236096191591 39.0608295845671
"334" "Tuvalu" "TUV" 178.196069210971 -7.58641109901201
"335" "Tuva" "TVA" 94.7621775600376 51.5901955226225
"336" "Northern Provinces" "TVL" 28.106329944176 -25.2694859745186
"337" "Tadzhikistan" "TZK" 71.0553485230539 38.5339699634732
"338" "Uganda" "UGA" 32.3858249597397 1.27962105513511
"339" "Ukraine" "UKR" 31.1631135933703 49.0981005297887
"340" "Uruguay" "URU" -56.0192447195705 -32.7913157614196
"341" "Utah" "UTA" -111.667672536053 39.3102498135789
"342" "Uzbekistan" "UZB" 63.3316562520535 41.7708962985465
"343" "Vanuatu" "VAN" 167.693954215511 -16.1916359384375
"344" "Venezuela" "VEN" -66.1577352723351 7.11693099604793
"345" "Vermont" "VER" -72.6632708019723 44.0765385371065
"346" "Victoria" "VIC" 144.284618904513 -36.8643860397882
"347" "Vietnam" "VIE" 106.350773149647 16.5487719273371
"348" "Venezuelan Antilles" "VNA" -64.3485866648651 11.0585440078581
"349" "Virginia" "VRG" -78.8358496972041 37.5277155847796
"350" "Wake I." "WAK" 166.63819150271 19.3015161734378
"351" "Wallis-Futuna Is." "WAL" -177.139732344954 -13.7851397127064
"352" "Washington" "WAS" -120.436625499477 47.3888208196517
"353" "Western Australia" "WAU" 122.280779570726 -25.3290987585369
"354" "District of Columbia" "WDC" -77.0095651333512 38.9116230046664
"355" "West Himalaya" "WHM" 76.7357896831197 33.2900090519964
"356" "Windward Is." "WIN" -60.9948512385431 14.0913944180835
"357" "Wisconsin" "WIS" -89.715046142114 44.6289918934683
"358" "Western Sahara" "WSA" -13.1809896223367 24.6457354795613
"359" "West Siberia" "WSB" 72.963868988174 61.5351988363013
"360" "West Virginia" "WVA" -80.6218838088135 38.63964021359
"361" "Wyoming" "WYO" -107.5430630307 43.0020137699038
"362" "Christmas I." "XMS" 105.703698213368 -10.4441144399177
"363" "Yakutskiya" "YAK" 129.185084904806 65.9743978580412
"364" "Yemen" "YEM" 47.5473956543363 15.8461479499835
"365" "Yugoslavia" "YUG" 18.7962677987357 44.1546238627187
"366" "Yukon" "YUK" -135.169577046734 63.4639280921623
"367" "Zaïre" "ZAI" 23.6482230257391 -2.86425905834248
"368" "Zambia" "ZAM" 27.831618048539 -13.45037998608
"369" "Zimbabwe" "ZIM" 29.8713108777078 -18.9927999671907
